sentence_id,token_id,form,lemma,upos,deprel,head
s1,1,சென்னை,சென்னை,N,AAdjn,2
s1,2,அருகே,அருகே,P,AuxP,18
s1,3,ஸ்ரீ,ஸ்ரீ,N,Atr,4
s1,4,பெரும்புதூரில்,பெரும்புதூர்,N,AAdjn,18
s1,5,கிரீன்,கிரீன்,N,Atr,6
s1,6,பீல்டு,பீல்டு,N,Atr,11
s1,7,(,(,Z,AuxG,6
s1,8,நவீன,நவீனம்,J,Atr,6
s1,9,),),Z,AuxG,6
s1,10,விமான,விமானம்,N,Atr,11
s1,11,நிலையத்துக்குக்க்,நிலையம்,N,Atr,12
s1,12,ஆன,ஆகு,T,Atr,13
s1,13,நிலம்,நிலம்,N,Sb,18
s1,14,யாருக்கும்,யார்,R,Atr,15
s1,15,பாதிப்பு,பாதிப்பு,N,Comp,16
s1,16,இல்லாத,இல்,P,AuxP,17
s1,17,வகையில்,வகை,N,AAdjn,18
s1,18,எடுக்கப்,எடு,V,Obj,20
s1,19,படும்,படு,V,AuxV,18
s1,20,என்று,என்,T,AuxC,23
s1,21,முதல்வர்,முதல்வர்,N,Atr,22
s1,22,கருணாநிதி,கருணாநிதி,N,Sb,23
s1,23,உறுதியளித்த்,உறுதியளி,V,Pred,0
s1,24,உள்ளார்,உள்,V,AuxV,23
s1,25,.,.,Z,AuxK,0
s2,1,இது,இது,R,Comp,2
s2,2,தொடர்பாக,தொடர்பு,A,AAdjn,6
s2,3,",",",",Z,AuxX,6
s2,4,அவர்,அவர்,R,Sb,6
s2,5,புதன்கிழமை,புதன்கிழமை,N,AAdjn,6
s2,6,வெளியிட்ட,வெளியிடு,J,AdjAtr,7
s2,7,அறிக்கை,அறிக்கை,N,Pnom,0
s2,8,:,:,Z,AuxK,7
s2,9,.,.,Z,AuxK,0
s3,1,நாடு,நாடு,N,Comp,2
s3,2,முழுவதும்,முழுவதும்,Q,AAdjn,5
s3,3,விமானப்,விமானம்,N,Atr,4
s3,4,போக்குவரத்தில்,போக்குவரத்து,N,AComp,5
s3,5,ஏற்பட்டு,ஏற்படு,V,Atr,7
s3,6,வரும்,வரு,J,AuxV,5
s3,7,வளர்ச்சியைக்,வளர்ச்சி,N,Obj,9
s3,8,கருத்தில்,கருத்து,N,AComp,9
s3,9,கொண்டு,கொள்,V,AAdjn,27
s3,10,",",",",Z,AuxX,27
s3,11,முக்கிய,முக்கியம்,J,Atr,12
s3,12,நகரங்களில்,நகரம்,N,Atr,13
s3,13,உள்ள,உள்,P,AuxP,15
s3,14,விமான,விமானம்,N,Atr,15
s3,15,நிலையங்களை,நிலையம்,N,Obj,16
s3,16,விரிவுபடுத்தவ்,விரிவுபடுத்து,V,Obj_M,24
s3,17,உம்,உம்,T,AuxZ,16
s3,18,",",",",Z,AuxX,24
s3,19,புதிதாக,புதிது,A,AAdjn,23
s3,20,சர்வதேச,சர்வதேசம்,J,Atr,22
s3,21,விமான,விமானம்,N,Atr,22
s3,22,நிலையங்களை,நிலையம்,N,Obj,23
s3,23,அமைக்கவ்,அமை,V,Obj_M,24
s3,24,உம்,உம்,T,Coord,27
s3,25,மத்திய,மத்திய,J,Atr,26
s3,26,அரசு,அரசு,N,Sb,27
s3,27,முடிவு,முடிவு,N,Pred,0
s3,28,செய்தது,செய்,V,AuxV,27
s3,29,.,.,Z,AuxK,0
s4,1,அதன்படி,அதன்படி,A,AAdjn,18
s4,2,",",",",Z,AuxX,18
s4,3,புதுதில்லி,புதுதில்லி,N,Atr_M,8
s4,4,",",",",Z,AuxX,8
s4,5,மும்பை,மும்பை,N,Atr_M,8
s4,6,",",",",Z,AuxX,8
s4,7,கொல்கத்தா,கொல்கத்தா,N,Atr_M,8
s4,8,",",",",Z,Coord,10
s4,9,சென்னை,சென்னை,N,Atr_M,8
s4,10,ஆகிய,ஆகு,J,AdjAtr,12
s4,11,விமான,விமானம்,N,Atr,12
s4,12,நிலையங்களை,நிலையம்,N,Obj,13
s4,13,மேம்படுத்த,மேம்படுத்து,V,AAdjn,18
s4,14,புதிய,புதிய,J,Atr,15
s4,15,திட்டங்கள்,திட்டம்,N,Sb,18
s4,16,உருவாக்கப்,உருவாகு,V,AAdjn,18
s4,17,பட்டு,படு,V,AuxV,16
s4,18,நிறைவேற்றப்,நிறைவேற்று,V,Pred,0
s4,19,படுகின்றன,படு,V,AuxV,18
s4,20,.,.,Z,AuxK,0
s5,1,கர்நாடகத்தில்,கர்நாடகம்,N,AAdjn_M,5
s5,2,உம்,உம்,T,AuxZ,1
s5,3,",",",",Z,AuxX,5
s5,4,ஆந்திரத்தில்,ஆந்திரம்,N,AAdjn_M,5
s5,5,உம்,உம்,T,Coord,10
s5,6,கிரீன்,கிரீன்,N,Atr,7
s5,7,பீல்டு,பீல்டு,N,Atr,9
s5,8,விமான,விமானம்,N,Atr,9
s5,9,நிலையங்களை,நிலையம்,N,Obj,10
s5,10,அமைத்து,அமை,V,AAdjn,12
s5,11,தமிழகத்தை,தமிழகம்,N,Obj,12
s5,12,முந்திக்,முந்து,V,Pred,0
s5,13,கொண்டு,கொள்,V,AuxV,12
s5,14,விட்டனர்,விடு,V,AuxV,12
s5,15,.,.,Z,AuxK,0
s6,1,ஆனால்,ஆனால்,A,AAdjn,28
s6,2,",",",",Z,AuxX,28
s6,3,இந்த,இந்த,D,AuxA,4
s6,4,வரிசையில்,வரிசை,N,AAdjn,7
s6,5,சென்னை,சென்னை,N,AComp,6
s6,6,அருகே,அருகே,P,AuxP,7
