lemma,frequency
.,600
",",327
உள்,239
உம்,236
என்,191
படு,162
இரு,127
ஆகு,123
அவர்,93
இந்தியா,89
தெரிவி,80
செய்,78
ஆக,68
ஆன,68
நாடு,64
அரசு,63
இந்த,63
வேண்டு,57
வரு,56
கொள்,56
இது,46
மற்றும்,43
ஆண்டு,40
இல்,39
வா,39
இடம்,38
கூறு,38
நடைபெறு,36
விடு,34
அமெரிக்கா,34
தலைவர்,33
மத்திய,31
பெறு,31
அது,30
உடன்,29
அந்த,29
குறி,28
மக்கள்,28
செல்,28
பேர்,27
கட்சி,27
சட்டம்,25
வழங்கு,24
செயலாளர்,23
பாகிஸ்தான்,22
சேர்,22
ஒரு,22
அதிகாரி,22
இலங்கை,22
முதல்வர்,22
இலிருந்து,22
மாநிலம்,22
இன்று,21
ஏற்படு,21
சென்னை,21
பணி,21
போது,21
நிலை,21
பாதுகாப்பு,21
தலைமை,21
தமிழகம்,21
குறிப்பிடு,20
உறுப்பினர்,20
தன்,19
நடத்து,19
பேசு,18
அமைச்சர்,18
வீடு,18
அளி,17
துறை,17
மீது,17
பகுதி,17
அறிக்கை,17
நிறுவனம்,16
ஆயிரம்,16
மேலும்,16
தெரி,16
பேரவை,16
தான்,16
விமானம்,16
ஒபாமா,16
சர்வதேசம்,15
நடவடிக்கை,15
தொகுதி,15
நாள்,15
அதிமுக,15
பொது,15
உயிரிழ,15
எடு,15
முதல்,15
ஆனால்,15
உள்ளிடு,15
கட்டு,14
காங்கிரஸ்,14
கிரிக்கெட்,14
நிறைவேற்று,14
கடந்த,14
வை,14
நிதி,14
ஜெயலலிதா,14
பயணம்,14
கழகம்,14
அமைப்பு,13
பின்னர்,13
லட்சம்,13
கூடு,13
தகவல்,13
ஏ,13
கருத்து,13
விழா,13
தமிழர்,13
மூலம்,13
தொடர்,13
தேதி,13
-,13
சார்பு,13
முறை,13
புலி,13
வெளியிடு,13
கேள்,12
புதிய,12
ஐக்கிய,12
அமை,12
கல,12
அதிபர்,12
அணு,12
2,12
போல்,12
வெற்றி,12
:,12
ராணுவம்,12
அனைவர்,12
அரசியல்,12
குற்றம்,12
ஏல்,12
விசாரணை,12
ஈடுபடு,12
முடி,11
விடுதலை,11
வகை,11
இரண்டு,11
பிகார்,11
இடை,11
ஒப்பந்தம்,11
நாடாளுமன்றம்,11
வாழ்,11
சிறை,11
),11
பிரிவு,11
கவுன்சில்,11
போட்டி,11
(,11
முடிவு,11
நம்பிக்கை,11
தொடர்பு,11
உத்தரவிடு,10
காரணம்,10
யார்,10
அனுமதி,10
ஒன்று,10
அளவு,10
வீரர்,10
கருணாநிதி,10
ஆறு,10
சில,10
உலகம்,10
அனைத்து,10
முயற்சி,10
ராஜபட்ச,10
முன்னாள்,10
முக்கியம்,10
மாவட்டம்,10
போலீஸார்,10
வளர்ச்சி,9
இணை,9
வழக்கு,9
போலீஸ்,9
சிங்,9
வரை,9
பதக்கம்,9
