sign,total_count,final_count,final_ratio,avg_position,is_suffix_candidate
S245,3,0,0.0000,1.6667,0
S072,2,0,0.0000,2.5000,0
S418,2,2,1.0000,5.0000,0
S342,1,0,0.0000,0.0000,0
S008,1,0,0.0000,1.0000,0
S067,1,1,1.0000,3.0000,0
S322,1,1,1.0000,0.0000,0
S244,1,0,0.0000,0.0000,0
S373,1,0,0.0000,1.0000,0
S211,1,0,0.0000,0.0000,0
S089,1,0,0.0000,1.0000,0
S336,1,0,0.0000,2.0000,0
S099,1,0,0.0000,4.0000,0
S267,1,0,0.0000,5.0000,0
S055,1,0,0.0000,6.0000,0
S086,1,0,0.0000,7.0000,0
S075,1,0,0.0000,2.0000,0
S343,1,0,0.0000,3.0000,0
S127,1,0,0.0000,5.0000,0
S059,1,1,1.0000,6.0000,0
